marcha,muestra,tiempo_s,pata,articulacion,velocidad_rad_s
gateo,20,3.600000,2,tibia,-0.373488533
gateo,20,3.600000,3,coxa,0.000000000
gateo,20,3.600000,3,femur,0.026942139
gateo,20,3.600000,3,tibia,-0.001815300
gateo,21,3.780000,0,coxa,-0.038665443
gateo,21,3.780000,0,femur,0.003965151
gateo,21,3.780000,0,tibia,-0.098976056
gateo,21,3.780000,1,coxa,0.039381246
gateo,21,3.780000,1,femur,-0.107299587
gateo,21,3.780000,1,tibia,0.096909591
gateo,21,3.780000,2,coxa,-0.054087160
gateo,21,3.780000,2,femur,-0.381667634
gateo,21,3.780000,2,tibia,0.315966086
gateo,21,3.780000,3,coxa,0.039381246
gateo,21,3.780000,3,femur,-0.104123694
gateo,21,3.780000,3,tibia,0.090168054
gateo,22,3.960000,0,coxa,-0.062925861
gateo,22,3.960000,0,femur,-0.016821230
gateo,22,3.960000,0,tibia,-0.148423571
gateo,22,3.960000,1,coxa,0.063368377
gateo,22,3.960000,1,femur,-0.197207605
gateo,22,3.960000,1,tibia,0.172352543
gateo,22,3.960000,2,coxa,-0.092289103
gateo,22,3.960000,2,femur,-0.769566848
gateo,22,3.960000,2,tibia,0.944519549
gateo,22,3.960000,3,coxa,0.063368377
gateo,22,3.960000,3,femur,-0.190759991
gateo,22,3.960000,3,tibia,0.158925741
gateo,23,4.140000,0,coxa,0.000000000
gateo,23,4.140000,0,femur,0.026432804
gateo,23,4.140000,0,tibia,-0.001344200
gateo,23,4.140000,1,coxa,0.000000000
gateo,23,4.140000,1,femur,0.030011227
gateo,23,4.140000,1,tibia,-0.007840965
gateo,23,4.140000,2,coxa,0.000000000
gateo,23,4.140000,2,femur,0.000000000
gateo,23,4.140000,2,tibia,0.000000000
gateo,23,4.140000,3,coxa,0.000000000
gateo,23,4.140000,3,femur,0.028229999
gateo,23,4.140000,3,tibia,-0.004570980
paso,0,0.000000,0,coxa,0.049913308
paso,0,0.000000,0,femur,0.123877492
paso,0,0.000000,0,tibia,-0.323949451
paso,0,0.000000,1,coxa,-0.039185747
paso,0,0.000000,1,femur,0.069996475
paso,0,0.000000,1,tibia,-0.095289325
paso,0,0.000000,2,coxa,0.039016074
paso,0,0.000000,2,femur,-0.030722592
paso,0,0.000000,2,tibia,0.087058944
paso,0,0.000000,3,coxa,-0.039185747
paso,0,0.000000,3,femur,0.069208281
paso,0,0.000000,3,tibia,-0.092934384
paso,1,0.180000,0,coxa,0.041376195
paso,1,0.180000,0,femur,0.043440508
paso,1,0.180000,0,tibia,-0.183146274
paso,1,0.180000,1,coxa,-0.033351430
paso,1,0.180000,1,femur,0.061193635
paso,1,0.180000,1,tibia,-0.079193419
paso,1,0.180000,2,coxa,0.032941862
paso,1,0.180000,2,femur,-0.024231354
paso,1,0.180000,2,tibia,0.075043884
paso,1,0.180000,3,coxa,-0.033351430
paso,1,0.180000,3,femur,0.060403640
paso,1,0.180000,3,tibia,-0.076980391
paso,2,0.360000,0,coxa,0.026706696
paso,2,0.360000,0,femur,-0.020912070
paso,2,0.360000,0,tibia,-0.069818425
paso,2,0.360000,1,coxa,-0.022351201
paso,2,0.360000,1,femur,0.046802487
paso,2,0.360000,1,tibia,-0.053126387
paso,2,0.360000,2,coxa,0.021941715
paso,2,0.360000,2,femur,-0.010114098
paso,2,0.360000,2,tibia,0.049228950
paso,2,0.360000,3,coxa,-0.022351201
paso,2,0.360000,3,femur,0.045953064
paso,2,0.360000,3,tibia,-0.051066442
paso,3,0.540000,0,coxa,0.007956777
paso,3,0.540000,0,femur,-0.076780946
paso,3,0.540000,0,tibia,0.029728508
paso,3,0.540000,1,coxa,-0.007861244
paso,3,0.540000,1,femur,0.028931646
paso,3,0.540000,1,tibia,-0.020930623
paso,3,0.540000,2,coxa,0.007691653
paso,3,0.540000,2,femur,0.009520175
paso,3,0.540000,2,tibia,0.013498103
paso,3,0.540000,3,coxa,-0.007861244
paso,3,0.540000,3,femur,0.027974814
paso,3,0.540000,3,tibia,-0.019013127
paso,4,0.720000,0,coxa,-0.012092527
paso,4,0.720000,0,femur,-0.130855576
paso,4,0.720000,0,tibia,0.127524187
paso,4,0.720000,1,coxa,0.007861244
paso,4,0.720000,1,femur,0.009858496
paso,4,0.720000,1,tibia,0.013286688
paso,4,0.720000,2,coxa,-0.007691653
paso,4,0.720000,2,femur,0.031178491
paso,4,0.720000,2,tibia,-0.025777257
paso,4,0.720000,3,coxa,0.007861244
paso,4,0.720000,3,femur,0.008766472
paso,4,0.720000,3,tibia,0.015085660
paso,5,0.900000,0,coxa,-0.030440728
paso,5,0.900000,0,femur,-0.190201811
paso,5,0.900000,0,tibia,0.236360541
paso,5,0.900000,1,coxa,0.022351201
paso,5,0.900000,1,femur,-0.008091389
paso,5,0.900000,1,tibia,0.045368626
paso,5,0.900000,2,coxa,-0.021941715
paso,5,0.900000,2,femur,0.050823406
