x_m,y_m,z_m,sigma_min_m_rad,condition_number
1.030323013706857249e-01,5.784351648852646688e-02,-2.064754748073927282e-01,3.505794558526378196e-02,7.586221846205893904e+00
9.771110449071065962e-02,5.698147258006797111e-02,-2.118171949031918133e-01,3.260002753499111061e-02,8.210097113298481020e+00
9.208775041550397444e-02,5.616957289227167416e-02,-2.168481925536824839e-01,3.009779459627823228e-02,8.941901571654200964e+00
8.618082623749889759e-02,5.541050102896933477e-02,-2.215518386053186017e-01,2.755512027492415528e-02,9.813014484503653989e+00
8.000985634449402084e-02,5.470676598011569441e-02,-2.259125859126126512e-01,2.497580172606561275e-02,1.086840917019070751e+01
7.359523788492952634e-02,5.406069382872574769e-02,-2.299160207267245404e-01,2.236357437258679887e-02,1.217489345992101057e+01
6.695817334839397617e-02,5.347442006238142809e-02,-2.335489103377901832e-01,1.972212344665481148e-02,1.383616909652644011e+01
6.012060048420494324e-02,5.294988251472088764e-02,-2.367992468135154960e-01,1.705509334666738958e-02,1.602233919775269300e+01
5.310511978970729186e-02,5.248881496024112442e-02,-2.396562866894652588e-01,1.436609541905978227e-02,1.903309777512390255e+01
4.593491980796420709e-02,5.209274138358517547e-02,-2.421105864798568930e-01,1.165871459157805448e-02,2.344995378375576678e+01
3.863370048175771704e-02,5.176297094225607714e-02,-2.441540338914837405e-01,8.936515164784445547e-03,3.056864606694939823e+01
3.122559481723975738e-02,5.150059363940723278e-02,-2.457798746375954579e-01,6.203045989134305625e-03,4.397929010456428500e+01
2.373508911616199410e-02,5.130647672101235068e-02,-2.469827347631066428e-01,3.461845201955137796e-03,7.866600999013049034e+01
1.618694204034364439e-02,5.118126180932334318e-02,-2.477586384073408865e-01,7.164446632701444283e-04,3.793953923659243515e+02
8.606102775897125218e-03,5.112536278209119101e-02,-2.481050209455988032e-01,2.029625793934185067e-03,1.336913344904685061e+02
1.017628567705985108e-03,5.113896440455958925e-02,-2.480207374661123898e-01,4.772834198228293259e-03,5.677577686073768604e+01
1.067215253041858963e-01,8.449822423140203320e-02,-4.130756792852280368e-02,2.261858599571434786e-02,7.934359149215993945e+00
1.110094124218812539e-01,8.350065491759178782e-02,-4.748908142017488343e-02,2.844513449045331030e-02,6.450789391656028826e+00
1.149303757816108190e-01,8.246547543490312382e-02,-5.390364915991455869e-02,3.455364310714446191e-02,5.428422048805025213e+00
1.184714552696381623e-01,8.139610740261740696e-02,-6.053006882579952536e-02,4.084353751900622609e-02,4.693139455264400794e+00
1.216209464172641891e-01,8.029608544476780907e-02,-6.734643785342005196e-02,4.715889832749155935e-02,4.152286880525881685e+00
1.243684390880657048e-01,7.916904550700808174e-02,-7.433022583130259597e-02,5.320546031386109292e-02,3.758186863094555630e+00
1.267048518869271223e-01,7.801871283857894634e-02,-8.145834897156131738e-02,5.838042238583528859e-02,3.495806415222939112e+00
1.286224621771312748e-01,7.684888967909599133e-02,-8.870724640964597341e-02,6.179455262898619211e-02,3.369151151235477926e+00
1.301149316062930605e-01,7.566344269085809038e-02,-9.605295808099036103e-02,6.321316972537022183e-02,3.357973355789094505e+00
1.311773270567637151e-01,7.446629017821712604e-02,-1.034712039171518244e-01,6.333428015322958848e-02,3.415092011359555979e+00
1.318061369512577852e-01,7.326138913625318549e-02,-1.109374640996723255e-01,6.277531742244302215e-02,3.508628706870030811e+00
1.319992828598069989e-01,7.205272217156377668e-02,-1.184270601063945327e-01,6.183458304759017338e-02,3.624906678954143313e+00
1.317561263696763463e-01,7.084428433839820571e-02,-1.259152362823476312e-01,6.064653739854718867e-02,3.758641531287315374e+00
1.310774711955345895e-01,6.964006993364843523e-02,-1.333772416655830129e-01,5.927703241379227161e-02,3.908023075588630046e+00
1.299655605229046440e-01,6.844405929434307922e-02,-1.407884117974981253e-01,5.776205742495756079e-02,4.072846917765679642e+00
1.284240695936748056e-01,6.726020564128355750e-02,-1.481242502472372158e-01,5.612349722950097514e-02,4.253801570496251294e+00
1.264580935581776922e-01,6.609242201230862424e-02,-1.553605095807035763e-01,5.437602036772742897e-02,4.452194770930889334e+00
1.240741306339903094e-01,6.494456832837708360e-02,-1.624732715065531075e-01,5.253033449604167099e-02,4.669866634703002006e+00
1.212800606271210863e-01,6.382043863521996707e-02,-1.694390259342591631e-01,5.059483630796429710e-02,4.909197736143392277e+00
1.180851188865784662e-01,6.272374856273257859e-02,-1.762347486829354548e-01,4.857649975235489581e-02,5.173179433216535728e+00
1.144998657784102453e-01,6.165812304355750006e-02,-1.828379775840627552e-01,4.648137976719069614e-02,5.465539042313870333e+00
1.105361517801120019e-01,6.062708433145274495e-02,-1.892268867265742283e-01,4.431491133681225020e-02,5.790926508944822970e+00
1.062070783107799260e-01,5.963404035904854017e-02,-1.953803585988936886e-01,4.208209448800553920e-02,6.155180790205671215e+00
1.015269544264770923e-01,5.868227347347410722e-02,-2.012780538894739235e-01,3.978761313785963982e-02,6.565707936609753048e+00
9.651124952395025158e-02,5.777492958708717319e-02,-2.069004787151194347e-01,3.743591420224635924e-02,7.032023102437833018e+00
9.117654220902687845e-02,5.691500777916667225e-02,-2.122290490548818520e-01,3.503126205830231488e-02,7.566541572877596877e+00
8.554046549870013283e-02,5.610535038293854720e-02,-2.172461521765523540e-01,3.257777726769911508e-02,8.185760301916774395e+00
7.962164853802740361e-02,5.534863359070042732e-02,-2.219352048527149512e-01,3.007946496976380418e-02,8.912072672797014761e+00
7.343965502448744631e-02,5.464735860809844664e-02,-2.262807081739375836e-01,2.754023631675751524e-02,9.776649130664674558e+00
6.701491854332519704e-02,5.400384338679429380e-02,-2.302682987779242352e-01,2.496392510613627130e-02,1.082419099912749338e+01
6.036867502762211651e-02,5.342021496284873189e-02,-2.338847963252990436e-01,2.235430101961747087e-02,1.212114802170978933e+01
5.352289256633514791e-02,5.289840242614612248e-02,-2.371182470650979035e-01,1.971508041327741864e-02,1.377074493316100146e+01
4.650019879231186842e-02,5.244013054409801811e-02,-2.399579633459698047e-01,1.704993530631073589e-02,1.594244054651857567e+01
3.932380609028967439e-02,5.204691406070189458e-02,-2.423945589424894298e-01,1.436250102384439495e-02,1.893503988727095688e+01
3.201743487209150058e-02,5.172005268979854714e-02,-2.444199800798152744e-01,1.165638282265336022e-02,2.332876541195493303e+01
2.460523517261962653e-02,5.146062681907698916e-02,-2.460275320541475130e-01,8.935161744203229048e-03,3.041723283120125743e+01
1.711170682579970723e-02,5.126949393902673763e-02,-2.472119013609941907e-01,6.202399882541904073e-03,4.378569125523320338e+01
9.561618484320329528e-03,5.114728580864091878e-02,-2.479691732581058849e-01,3.461645216003914581e-03,7.839781359446995168e+01
1.979925750835265924e-03,5.109440636723851931e-02,-2.482968447050266370e-01,7.164361256591607937e-04,3.786591145320500686e+02
-5.608311308767139833e-03,5.111103039930795650e-02,-2.481938326364914182e-01,2.029694293763184641e-03,1.336742668069986166e+02
-1.317801099738131684e-02,5.119710295678502054e-02,-2.476604775423243143e-01,4.773214035432225312e-03,5.687356537506348531e+01
1.048913962956955492e-01,8.348650696303822061e-02,-4.757675028763240499e-02,2.819532353105441355e-02,6.392599981551025046e+00
1.087961035212856170e-01,8.244976901478384690e-02,-5.400097517679252473e-02,3.431852019767851758e-02,5.366770677528870159e+00
1.123203915807189646e-01,8.137899392965687595e-02,-6.063611375173104390e-02,4.062962721245281378e-02,4.631364707154414617e+00
1.154526115066629166e-01,8.027772098247734633e-02,-6.746023462908658230e-02,4.697374923832831756e-02,4.091652893891848386e+00
1.181824102499396956e-01,7.914959025384299407e-02,-7.445078177489325433e-02,5.306669245263321427e-02,3.698254679023088354e+00
1.205007648998652203e-01,7.799833059842836702e-02,-8.158464905992272864e-02,5.833999865796049566e-02,3.433624586601133011e+00
1.224000125080292045e-01,7.682774731985543559e-02,-8.883825663327815647e-02,6.194978538409415258e-02,3.299063880786828662e+00
1.238738754169384781e-01,7.564170959287444540e-02,-9.618762886179871296e-02,6.361524833288416392e-02,3.276192123856486837e+00
1.249174820098043481e-01,7.444413767442921437e-02,-1.036084735776587745e-01,6.396147028979923266e-02,3.321094534224092509e+00
1.255273828128881386e-01,7.323898994587822731e-02,-1.110762623722214848e-01,6.359636555236335143e-02,3.402421437017779215e+00
1.257015618971819571e-01,7.203024982920182284e-02,-1.185663116707483117e-01,6.282660043095723845e-02,3.506178184761689742e+00
1.254394435417376663e-01,7.082191262044147673e-02,-1.260538643199852205e-01,6.179291785968341055e-02,3.626762665767108818e+00
1.247418941366199852e-01,6.961797228389132730e-02,-1.335141714189509166e-01,6.056479147188426060e-02,3.762093235029050131e+00
1.236112193191934439e-01,6.842240825069165200e-02,-1.409225741224482409e-01,5.918036611613711195e-02,3.911701787628348193e+00
1.220511563532088728e-01,6.723917226545921000e-02,-1.482545851469110887e-01,5.766292316351105673e-02,4.075992083012618394e+00
1.200668617758792467e-01,6.607217532443110386e-02,-1.554859697091814097e-01,5.602811605055295352e-02,4.255944928295955165e+00
1.176648943537752373e-01,6.492527474829565270e-02,-1.625928256306871655e-01,5.428739663809301064e-02,4.453011568759973393e+00
1.148531934038772989e-01,6.380226143243940273e-02,-1.695516623422491376e-01,5.244975319109393408e-02,4.669099199481492768e+00
1.116410525514403007e-01,6.270684731675199575e-02,-1.763394785283791399e-01,5.052264663905985109e-02,4.906612560637466203e+00
1.080390890114100721e-01,6.164265311640607092e-02,-1.829338381544287628e-01,4.851254222302046198e-02,5.168540498476613898e+00
1.040592084949270302e-01,6.061319635416545504e-02,-1.893129446252933001e-01,4.642522586954789254e-02,5.458589068188818061e+00
9.971456585691293451e-02,5.962187973377953976e-02,-1.954557128305511593e-01,4.426600065663862521e-02,5.781371806584789219e+00
9.501952161481388992e-02,5.867197989289328619e-02,-2.013418388379049351e-01,4.203981374279019273e-02,6.142677250670954159e+00
8.998959448221943713e-02,5.776663657264848734e-02,-2.069518670045641107e-01,3.975134148804984613e-02,6.549846594258310617e+00
8.464141007425107777e-02,5.690884223977447920e-02,-2.122672542847426069e-01,3.740504859490263734e-02,7.012314179676375048e+00
7.899264595426540303e-02,5.610143219547061161e-02,-2.172704315207147352e-01,3.500523059960323341e-02,7.542396219420107073e+00
7.306197320351170976e-02,5.534707520377420142e-02,-2.219448615148398862e-01,3.255604537709227281e-02,8.156469605724172567e+00
6.686899470687605873e-02,5.464826467039025915e-02,-2.262750936906094412e-01,3.006153719050793163e-02,8.876784243303013966e+00
6.043418035869808913e-02,5.400731040113990883e-02,-2.302468151620426229e-01,2.752565554367344264e-02,9.734343218358260330e+00
5.377879940282784960e-02,5.342633096726887021e-02,-2.338468980426286481e-01,2.495227031706851242e-02,1.077366196099634621e+01
4.692485013056100357e-02,5.290724670285084502e-02,-2.370634428374444325e-01,2.234518418190853395e-02,1.206100567899973974e+01
3.989498716882534934e-02,5.245177335743216734e-02,-2.398858177750210208e-01,1.970814297733576234e-02,1.369946981496119243e+01
3.271244659895510692e-02,5.206141642489760940e-02,-2.423046939489540141e-01,1.704484453473567238e-02,1.585856901548896758e+01
2.540096915356155824e-02,5.173746616730252185e-02,-2.443120761531034080e-01,1.435894630046296618e-02,1.883764106745356770e+01
1.798472174535973092e-02,5.148099335011909611e-02,-2.459013293084615082e-01,1.165407201923275224e-02,2.321853243158820490e+01
1.048821758732546364e-02,5.129284570299336155e-02,-2.470672003943393535e-01,8.933817679917181731e-03,3.029879945385032869e+01
2.936235168212615425e-03,5.117364511771114316e-02,-2.478058358113816306e-01,6.201756883953187666e-03,4.367270319851382965e+01
-4.646263648756030970e-03,5.112378559263483502e-02,-2.481147941190197936e-01,3.461445767976443350e-03,7.833077084907566245e+01
-1.223421613331288765e-02,5.114343193040515184e-02,-2.479930541052608461e-01,7.164275928077441400e-04,3.790462252050975280e+02
-1.980254152896926412e-02,5.123251919321251263e-02,-2.474410181621396199e-01,2.029762901882726112e-03,1.340360145207885694e+02
-2.732622395342216431e-02,5.139075291743853274e-02,-2.464605109556763929e-01,4.773595285477963586e-03,5.709877382615826491e+01
1.026837715296556597e-01,8.249409411705188599e-02,-5.372631133750278842e-02,3.372920358788552425e-02,5.365288402893084729e+00
1.061912461337061048e-01,8.142191867142445361e-02,-6.037012735190033091e-02,4.006495654141872809e-02,4.612857648879622907e+00
1.093061752616036608e-01,8.031940161786731147e-02,-6.720195742825768592e-02,4.644692846921436719e-02,4.063080540458630097e+00
1.120182630161224296e-01,7.919018714917173962e-02,-7.419922005109151619e-02,5.260393653365424277e-02,3.662534746432260402e+00
1.143185450274030734e-01,7.803800770214072702e-02,-8.133878689424442476e-02,5.800495040562490129e-02,3.390015773543726407e+00
1.161994180832354451e-01,7.686667162061948388e-02,-8.859705926784688934e-02,6.184688458906158204e-02,3.243891575629839430e+00
1.176546652602538656e-01,7.568005056762734661e-02,-9.595004611999113919e-02,6.379125981738494044e-02,3.207485179916099050e+00
1.186794764729771356e-01,7.448206672819841778e-02,-1.033734433352944959e-01,6.438546255800310647e-02,3.239516151802274369e+00
1.192704643727726388e-01,7.327667984522977240e-02,-1.108427140682437528e-01,6.423092311720332570e-02,3.308605639746343918e+00
1.194256755441923390e-01,7.206787413118818930e-02,-1.183331698457914249e-01,6.364572838376685027e-02,3.400174269989042930e+00
1.191445969616732881e-01,7.085964509893666330e-02,-1.258200521711324849e-01,6.277832918223821834e-02,3.508207432631448519e+00
1.184281576852612428e-01,6.965598635520933724e-02,-1.332786143589333450e-01,6.170241130740210245e-02,3.630329692201116565e+00
1.172787257897519864e-01,6.846087640038664435e-02,-1.406842033315202078e-01,6.045853621592553462e-02,3.765819563024771277e+00
1.157001005374011515e-01,6.727826547820234260e-02,-1.480123411056617766e-01,5.907151619112447488e-02,3.914825870832941312e+00
1.136974998200736275e-01,6.611206251884814422e-02,-1.552388057006060806e-01,5.755807364788911168e-02,4.078048715102227995e+00
1.112775429123415843e-01,6.496612221863366787e-02,-1.623397111999416720e-01,5.593046766256076080e-02,4.256614451486417927e+00
